destination_country,travel_method,worker_count
ไนจีเรีย,RE-ENTRY,18
ไนจีเรีย,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,10
ไนจีเรีย,เดินทางด้วยตนเอง,8
ไนจีเรีย,VISA RE-ENTRY,5
อียิปต์,เดินทางด้วยตนเอง,15
อียิปต์,RE-ENTRY,14
อียิปต์,VISA RE-ENTRY,11
อียิปต์,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,1
เบอร์มิวดา,RE-ENTRY,18
เบอร์มิวดา,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,10
เบอร์มิวดา,เดินทางด้วยตนเอง,8
เบอร์มิวดา,VISA RE-ENTRY,5
เบอร์มิวดา,RE-ENTRY,20
เบอร์มิวดา,เดินทางด้วยตนเอง,11
เบอร์มิวดา,VISA RE-ENTRY,9
หมู่เกาะนอร์เทิร์นมาเรียนา,VISA RE-ENTRY,14
หมู่เกาะนอร์เทิร์นมาเรียนา,เดินทางด้วยตนเอง,10
หมู่เกาะนอร์เทิร์นมาเรียนา,RE-ENTRY,10
หมู่เกาะนอร์เทิร์นมาเรียนา,บริษัทจัดหางานคนประจำเรือ,4
ลัตเวีย,เดินทางด้วยตนเอง,28
ลัตเวีย,RE-ENTRY,6
ลัตเวีย,VISA RE-ENTRY,2
บัลแกเรีย,เดินทางด้วยตนเอง,22
บัลแกเรีย,VISA RE-ENTRY,8
บัลแกเรีย,RE-ENTRY,2
เลบานอน,เดินทางด้วยตนเอง,22
เลบานอน,RE-ENTRY,5
เลบานอน,VISA RE-ENTRY,1
เลบานอน,VISA RE-ENTRY,8
เลบานอน,RE-ENTRY,2
โคลอมเบีย,RE-ENTRY,13
โคลอมเบีย,VISA RE-ENTRY,8
โคลอมเบีย,เดินทางด้วยตนเอง,6
ออสเตรเลีย,เดินทางด้วยตนเอง,18
ออสเตรเลีย,RE-ENTRY,5
ออสเตรเลีย,VISA RE-ENTRY,3
เซเชลส์,RE-ENTRY,10
เซเชลส์,VISA RE-ENTRY,7
เซเชลส์,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,5
เซเชลส์,บริษัทจัดหางานคนประจำเรือ,3
เซเชลส์,เดินทางด้วยตนเอง,1
หมู่เกาะเคย์แมน,RE-ENTRY,13
หมู่เกาะเคย์แมน,เดินทางด้วยตนเอง,8
หมู่เกาะเคย์แมน,VISA RE-ENTRY,4
ศรีลังกา,VISA RE-ENTRY,14
ศรีลังกา,RE-ENTRY,8
ศรีลังกา,เดินทางด้วยตนเอง,2
โรมาเนีย,RE-ENTRY,13
โรมาเนีย,เดินทางด้วยตนเอง,8
โรมาเนีย,VISA RE-ENTRY,4
โรมาเนีย,เดินทางด้วยตนเอง,13
โรมาเนีย,RE-ENTRY,7
โรมาเนีย,VISA RE-ENTRY,1
เอสวาตินี,VISA RE-ENTRY,12
เอสวาตินี,RE-ENTRY,7
เอสวาตินี,เดินทางด้วยตนเอง,13
เอสวาตินี,VISA RE-ENTRY,1
เอสวาตินี,เดินทางด้วยตนเอง,16
เอสวาตินี,VISA RE-ENTRY,4
เอสวาตินี,RE-ENTRY,1
โมนาโก,เดินทางด้วยตนเอง,16
โมนาโก,VISA RE-ENTRY,4
โมนาโก,RE-ENTRY,1
โมนาโก,บริษัทจัดส่ง,18
หมู่เกาะเติกส์และเคคอส,RE-ENTRY,11
หมู่เกาะเติกส์และเคคอส,VISA RE-ENTRY,5
เคนยา,RE-ENTRY,12
เคนยา,VISA RE-ENTRY,4
กานา,RE-ENTRY,12
กานา,VISA RE-ENTRY,4
ภูฏาน,VISA RE-ENTRY,6
ภูฏาน,RE-ENTRY,5
ภูฏาน,เดินทางด้วยตนเอง,2
ภูฏาน,นายจ้างส่งลูกจ้างไปฝึกงานในต่างประเทศ,1
เม็กซิโก,RE-ENTRY,7
เม็กซิโก,เดินทางด้วยตนเอง,3
เม็กซิโก,VISA RE-ENTRY,2
เบลารุส,RE-ENTRY,7
เบลารุส,VISA RE-ENTRY,3
