district,worker_count
อำเภอวังน้ำเย็น,195
อำเภอกงไกรลาศ,194
อำเภอธวัชบุรี,194
อำเภอทุ่งช้าง,193
อำเภอห้วยเม็ก,192
อำเภอสมเด็จ,192
อำเภอโพธิ์ไทร,192
เขตคลองสามวา,191
อำเภอบางปะอิน,189
อำเภอเลิงนกทา,189
อำเภอสองแคว,189
อำเภอเขาวง,188
เขตสายไหม,183
อำเภอปากเกร็ด,182
เขตหนองจอก,181
อำเภอชุมแสง,181
เขตบางเขน,179
อำเภอคำม่วง,177
อำเภอแม่ระมาด,176
อำเภอเชียงยืน,176
อำเภอพระทองคำ,176
อำเภอเมืองอุตรดิตถ์,174
อำเภอสอง,172
อำเภอเมืองภูเก็ต,171
อำเภอหางดง,170
อำเภอสนามชัยเขต,170
อำเภอโขงเจียม,168
อำเภอบุ่งคล้า,167
อำเภอศรีณรงค์,166
อำเภอหัวตะพาน,165
อำเภอจอมพระ,165
อำเภอสำโรงทาบ,164
อำเภอพรหมพิราม,164
เขตบางกะปิ,164
อำเภอคำเขื่อนแก้ว,162
อำเภอเนินมะปราง,162
อำเภอบ้านด่าน,161
อำเภอนครไทย,159
อำเภอสะบ้าย้อย,159
อำเภอปทุมราชวงศา,159
อำเภอห้างฉัตร,159
อำเภอพรานกระต่าย,159
อำเภอราษีไศล,157
อำเภอขาณุวรลักษบุรี,156
อำเภอกุดชุม,156
อำเภอเมืองสระแก้ว,156
เขตดอนเมือง,155
อำเภอเมืองลพบุรี,155
อำเภอโนนคูณ,155
อำเภอศรีมหาโพธิ,154
อำเภอแม่แจ่ม,153
อำเภอตาพระยา,153
อำเภอภูผาม่าน,151
อำเภอเมืองกาญจนบุรี,150
อำเภอสิงหนคร,150
อำเภอดอยสะเก็ด,150
อำเภอเทพา,150
อำเภอห้วยราช,150
เขตบางขุนเทียน,150
อำเภอนาดูน,149
เขตประเวศ,149
อำเภอร้องกวาง,148
อำเภอโนนสุวรรณ,147
อำเภอบางเสาธง,147
อำเภอปรางค์กู่,146
อำเภอนาตาล,146
อำเภอค้อวัง,146
อำเภอโนนนารายณ์,146
อำเภอสายบุรี,145
อำเภอชานุมาน,145
อำเภอบึงสามพัน,144
อำเภอสารภี,143
อำเภอพนมดงรัก,142
อำเภอลาดยาว,141
เขตบึงกุ่ม,141
อำเภอหนองพอก,141
อำเภอบางบ่อ,141
อำเภอแจ้ห่ม,140
อำเภอชนแดน,140
อำเภอพระสมุทรเจดีย์,139
อำเภอเทพารักษ์,139
อำเภอรามัน,139
อำเภอภูกามยาว,139
อำเภอเชียงคาน,138
อำเภอเมืองนครปฐม,137
อำเภอศรีเทพ,137
เขตมีนบุรี,136
อำเภอดอยหลวง,136
อำเภอแม่ทา,135
อำเภอวังน้อย,135
อำเภอยะหา,134
อำเภอพนมไพร,134
เขตบางแค,134
อำเภอสหัสขันธ์,134
เขตสวนหลวง,133
อำเภอแม่ออน,133
อำเภอชื่นชม,132
อำเภอโคกโพธิ์,131
อำเภอสันกำแพง,130
อำเภอกระทุ่มแบน,130
อำเภอบางใหญ่,129
อำเภอเมืองสรวง,128
อำเภอพระประแดง,128
อำเภอวัฒนานคร,127
อำเภอภูกระดึง,127
อำเภอโพทะเล,125
อำเภอจอมทอง,123
อำเภอเมืองแพร่,123
อำเภอจังหาร,121
อำเภอลอง,120
อำเภอฟากท่า,120
อำเภอนาเยีย,119
อำเภอบางกระทุ่ม,119
อำเภอบางกรวย,118
อำเภอนาด้วง,117
อำเภอถลาง,116
อำเภอปางศิลาทอง,115
อำเภอขามทะเลสอ,115
อำเภอแม่จริม,114
อำเภอเมืองฉะเชิงเทรา,114
อำเภอกมลาไสย,113
อำเภอแปลงยาว,113
อำเภอไพศาลี,112
อำเภอลำดวน,111
อำเภอเชียงกลาง,111
อำเภอเขวาสินรินทร์,111
อำเภอนิคมคำสร้อย,111
อำเภอวังยาง,110
อำเภอไชยปราการ,110
เขตวังทองหลาง,109
อำเภอบ้านบึง,109
อำเภอพนัสนิคม,109
อำเภอเสนางคนิคม,109
อำเภอปากชม,108
อำเภอห้วยทับทัน,106
อำเภอตาคลี,106
เขตจตุจักร,106
อำเภอฆ้องชัย,105
อำเภอพนา,105
อำเภอนาน้อย,104
อำเภอปาย,104
อำเภอแม่เปิน,104
เขตหนองแขม,104
อำเภอพลับพลาชัย,104
อำเภอโนนดินแดง,104
อำเภอระโนด,103
อำเภอบางมูลนาก,103
อำเภอภูสิงห์,103
อำเภอศรีรัตนะ,102
อำเภอโกสัมพีนคร,102
อำเภอโพธิ์ชัย,100
อำเภอแก่งคอย,100
อำเภอวังหิน,99
อำเภอน้ำขุ่น,99
อำเภอรือเสาะ,99
อำเภอบรรพตพิสัย,99
อำเภอด่านซ้าย,99
อำเภอวชิรบารมี,99
อำเภอตะพานหิน,98
อำเภอวังน้ำเขียว,98
อำเภอสันป่าตอง,97
อำเภอปทุมรัตต์,97
อำเภอไพรบึง,97
อำเภอเมืองนราธิวาส,97
อำเภอนามน,96
อำเภอสามง่าม,95
อำเภอสามชัย,95
อำเภอหล่มเก่า,95
อำเภอห้วยผึ้ง,95
อำเภอกุดบาก,94
อำเภอทุ่งหัวช้าง,94
อำเภอเมืองสระบุรี,94
อำเภอสว่างวีระวงศ์,93
เขตลาดพร้าว,93
อำเภออรัญประเทศ,92
เขตดินแดง,92
อำเภอวังโป่ง,92
อำเภอพยุห์,92
อำเภอสูงเม่น,92
อำเภอพนมสารคาม,92
อำเภอหนองแค,91
อำเภอเมืองพิจิตร,91
อำเภอหัวหิน,91
อำเภอท่าตะโก,90
เขตคันนายาว,89
อำเภอสนม,89
อำเภอชุมตาบง,88
เขตพระโขนง,88
อำเภอหนองหิน,88
อำเภอสันติสุข,87
อำเภอท่าปลา,87
อำเภอดงหลวง,87
อำเภอบ้านโป่ง,87
อำเภอบางปะกง,86
เขตบางนา,86
อำเภอท่าแพ,86
เขตจอมทอง,85
อำเภอเชียงขวัญ,85
เขตหลักสี่,84
อำเภอเมืองนครศรีธรรมราช,84
อำเภอท่าสองยาง,83
อำเภอศรีสมเด็จ,83
อำเภอพยุหะคีรี,82
อำเภอบันนังสตา,82
อำเภอพระนครศรีอยุธยา,82
อำเภอเบญจลักษ์,82
อำเภอเหล่าเสือโก้ก,82
อำเภอวัดโบสถ์,82
เขตธนบุรี,82
อำเภอดอนจาน,82
อำเภอนาดี,81
อำเภอบ้านค่าย,80
อำเภอป่าซาง,80
อำเภอลืออำนาจ,80
อำเภอคำชะอี,79
เขตภาษีเจริญ,79
อำเภอเมืองราชบุรี,79
อำเภอซำสูง,78
อำเภอเวียงเก่า,78
เขตบางซื่อ,78
อำเภอแม่ใจ,78
เขตทุ่งครุ,78
อำเภอเมืองสุพรรณบุรี,77
อำเภอเมืองนครนายก,77
อำเภอหนองบัว,77
อำเภอลานสัก,77
อำเภออุ้มผาง,76
เขตสะพานสูง,76
อำเภอบ้านไร่,76
อำเภอตรอน,75
อำเภอท่าศาลา,75
อำเภอเมืองชัยนาท,74
อำเภอแม่วาง,73
เขตบางบอน,73
อำเภอบาเจาะ,73
อำเภอชัยบาดาล,72
อำเภอหว้านใหญ่,72
อำเภอเมืองปราจีนบุรี,72
อำเภอกรงปินัง,72
อำเภอตากใบ,71
เขตคลองเตย,71
อำเภอโคกสูง,70
อำเภอทองแสนขัน,69
เขตห้วยขวาง,69
อำเภอท่าม่วง,68
อำเภอป่าติ้ว,68
อำเภอโพธิ์ทอง,67
อำเภอโพธิ์ประทับช้าง,67
อำเภอเมืองจันทบุรี,67
อำเภออินทร์บุรี,67
อำเภออุทัย,66
อำเภอเดิมบางนางบวช,66
อำเภอโพนทราย,66
อำเภอท่ามะกา,66
อำเภอโคกสำโรง,66
อำเภอทุ่งศรีอุดม,66
อำเภอบ้านโฮ่ง,65
อำเภอเชียงม่วน,65
อำเภอเสนา,64
อำเภอเมืองตรัง,64
อำเภอน้ำเกลี้ยง,64
อำเภอปราณบุรี,64
อำเภออู่ทอง,64
อำเภอทับคล้อ,63
อำเภอทรายมูล,62
อำเภอสทิงพระ,62
อำเภอลาดหลุมแก้ว,62
อำเภอเมืองประจวบคีรีขันธ์,62
อำเภอบ้านหมี่,61
อำเภอภูหลวง,61
อำเภอนิคมน้ำอูน,60
อำเภอคลองหาด,60
อำเภอระแงะ,60
อำเภอเวียงแหง,59
อำเภอโพธาราม,58
อำเภอซับใหญ่,58
อำเภอมวกเหล็ก,57
อำเภอท่าตะเกียบ,56
อำเภอทุ่งเขาหลวง,56
อำเภอยางชุมน้อย,56
อำเภอวังสมบูรณ์,56
อำเภอกำแพงแสน,56
อำเภอหนองฮี,56
อำเภอตะกั่วป่า,55
อำเภอสะเมิง,55
อำเภอฮอด,55
อำเภอศรีนคร,55
อำเภอแกลง,55
อำเภอศิลาลาด,55
อำเภอทองผาภูมิ,55
อำเภอแม่สะเรียง,55
เขตสาทร,54
อำเภอนครชัยศรี,53
อำเภอสว่างอารมณ์,53
อำเภอเมืองสุราษฎร์ธานี,53
อำเภอกัลยาณิวัฒนา,52
อำเภอไทรน้อย,52
อำเภอมโนรมย์,52
อำเภอดงเจริญ,52
เขตวัฒนา,52
อำเภอบางคล้า,51
เขตบางคอแหลม,51
อำเภออมก๋อย,51
เขตบางกอกน้อย,51
อำเภอรัตภูมิ,51
อำเภอวังทรายพูน,50
อำเภอหนองเสือ,50
อำเภอท่าลี่,50
อำเภอยี่งอ,50
เขตทวีวัฒนา,50
อำเภอกะทู้,49
อำเภอศรีสาคร,49
อำเภอลำสนธิ,49
อำเภอเด่นชัย,49
เขตบางพลัด,49
อำเภอสามโคก,48
อำเภอทุ่งยางแดง,48
อำเภอนาทวี,48
อำเภอแม่ลาน้อย,48
อำเภอสอยดาว,48
อำเภอโพธิ์ศรีสุวรรณ,48
เขตพญาไท,48
อำเภอหนองสูง,47
อำเภอทัพทัน,47
อำเภอเมืองกระบี่,47
อำเภอบางเลน,47
อำเภอตากฟ้า,47
อำเภอชะอำ,47
อำเภอน้ำหนาว,46
อำเภอบึงสามัคคี,46
อำเภอปากพะยูน,45
อำเภอวิเศษชัยชาญ,45
อำเภอสองพี่น้อง,45
อำเภอประจันตคาม,45
อำเภอพัฒนานิคม,45
อำเภอปางมะผ้า,44
อำเภอบ้านธิ,44
อำเภอเมืองสมุทรสงคราม,44
อำเภอลับแล,44
เขตตลิ่งชัน,44
เขตยานนาวา,43
อำเภอหันคา,43
อำเภอเมืองชุมพร,43
เขตราษฎร์บูรณะ,43
อำเภอเมืองเพชรบุรี,43
เขตดุสิต,43
อำเภอเบตง,43
อำเภอเมยวดี,42
อำเภอภูเรือ,42
อำเภอแม่ลาน,42
อำเภอไทยเจริญ,42
อำเภอเมืองแม่ฮ่องสอน,42
อำเภอเมืองอุทัยธานี,42
อำเภอบ้านโพธิ์,41
อำเภอกาบัง,41
อำเภอปากพนัง,41
อำเภอนาหมื่น,41
อำเภอบางสะพาน,41
อำเภอไทรโยค,39
อำเภอควนขนุน,39
อำเภอหนองหญ้าไซ,39
อำเภอหลังสวน,39
อำเภอเมืองตราด,39
อำเภอบ้านสร้าง,39
เขตราชเทวี,38
อำเภอเต่างอย,38
อำเภอทุ่งหว้า,38
อำเภอสามชุก,38
อำเภอสากเหล็ก,37
อำเภอเมืองพัทลุง,37
อำเภอด่านช้าง,37
อำเภอบ้านแพ้ว,36
อำเภอบางปลาม้า,36
อำเภอเมืองระนอง,36
อำเภอเก้าเลี้ยว,36
อำเภอสุไหงปาดี,35
อำเภอบึงนาราง,35
อำเภอสรรคบุรี,35
อำเภอเสาไห้,35
อำเภอเลาขวัญ,35
อำเภอบ้านนา,35
อำเภอจะแนะ,34
อำเภอโคกเจริญ,34
อำเภอควนโดน,34
อำเภอพระพุทธบาท,34
อำเภอองครักษ์,34
อำเภอศรีสวัสดิ์,33
อำเภอผักไห่,33
อำเภอสรรพยา,33
อำเภอท่าเรือ,33
อำเภอทุ่งสง,33
อำเภอบ่อไร่,33
อำเภอโกรกพระ,33
อำเภอร่องคำ,32
อำเภอเมืองอ่างทอง,32
อำเภอร่อนพิบูลย์,32
อำเภอจอมบึง,32
อำเภอควนกาหลง,32
อำเภอบางระจัน,32
อำเภอเกาะสมุย,31
อำเภอบางบาล,31
อำเภอบางน้ำเปรี้ยว,31
อำเภอนครหลวง,31
อำเภอหัวไทร,30
อำเภอเวียงหนองล่อง,30
อำเภอหนองฉาง,30
อำเภอท่าแซะ,29
อำเภอแสวงหา,29
อำเภอเมืองสิงห์บุรี,29
เขตคลองสาน,29
อำเภอศรีมโหสถ,29
อำเภอศรีประจันต์,29
อำเภอหนองม่วงไข่,29
อำเภอเมืองจันทร์,29
อำเภอพนมทวน,29
อำเภอบ่อพลอย,28
อำเภอเชียรใหญ่,28
อำเภอสวนผึ้ง,28
อำเภอดอยหล่อ,28
อำเภอดำเนินสะดวก,28
อำเภอชะอวด,28
อำเภอเขาย้อย,28
อำเภอกะพ้อ,27
อำเภอสุไหงโก-ลก,27
อำเภอบ่อทอง,27
อำเภอสบเมย,27
อำเภอห้วยยอด,27
อำเภอวิหารแดง,27
เขตบางกอกใหญ่,27
อำเภอคลองท่อม,26
อำเภอเจาะไอร้อง,26
อำเภอดอยเต่า,26
อำเภอท่ายาง,26
อำเภอขลุง,26
อำเภอบ้านหลวง,26
อำเภอดอนเจดีย์,26
อำเภอหนองมะโมง,25
อำเภอปะเหลียน,25
อำเภอวังม่วง,25
เขตปทุมวัน,25
อำเภอขุนยวม,25
อำเภอโป่งน้ำร้อน,24
อำเภอวัดสิงห์,24
อำเภอควนเนียง,24
อำเภอสามร้อยยอด,24
อำเภอสามโก้,24
อำเภอปากท่อ,24
อำเภอหนองปรือ,24
อำเภอบางไทร,24
อำเภอเกาะจันทร์,24
อำเภอสวี,24
อำเภอมะนัง,24
อำเภอบางแพ,24
อำเภอท่าหลวง,23
อำเภอภูเพียง,23
อำเภอสังขละบุรี,23
อำเภอพุนพิน,23
อำเภอทับสะแก,22
อำเภอป่าโมก,22
อำเภอสิเกา,22
อำเภอสิชล,22
อำเภอดอนตูม,22
อำเภอมหาราช,21
อำเภอท่าใหม่,21
อำเภอแก่งหางแมว,21
เขตป้อมปราบศัตรูพ่าย,21
อำเภอพุทธมณฑล,21
อำเภอบางกล่ำ,21
อำเภอด่านมะขามเตี้ย,21
อำเภอท่าวุ้ง,21
อำเภอลาดบัวหลวง,21
อำเภอไชโย,20
อำเภอหนองขาหย่าง,20
อำเภออัมพวา,20
อำเภอปากพลี,20
เขตบางรัก,20
อำเภอพรหมบุรี,19
อำเภอบางปะหัน,19
อำเภอแว้ง,19
อำเภอค่ายบางระจัน,19
อำเภอธารโต,19
อำเภอเขาสมิง,19
อำเภอป่าบอน,19
อำเภอกระบุรี,18
อำเภอไม้แก่น,18
อำเภอกาญจนดิษฐ์,18
อำเภอบ้านหมอ,18
อำเภอบ้านแหลม,18
อำเภอทุ่งใหญ่,17
อำเภอเขาชะเมา,17
อำเภอบึงบูรพ์,17
อำเภอท่าชนะ,17
อำเภอกุยบุรี,17
เขตพระนคร,17
อำเภอย่านตาขาว,17
อำเภอบ่อเกลือ,16
อำเภอเขาชัยสน,16
อำเภอห้วยคต,16
อำเภอนาหม่อม,16
อำเภอพระพรหม,16
อำเภอเนินขาม,15
อำเภอเวียงสระ,15
อำเภอหนองใหญ่,15
อำเภอบางสะพานน้อย,14
อำเภอบางซ้าย,14
อำเภอกงหรา,14
อำเภอหนองม่วง,14
อำเภอบ้านลาด,14
อำเภอฉวาง,13
อำเภอกระแสสินธุ์,13
อำเภอวังวิเศษ,13
อำเภอนาแห้ว,13
อำเภอลานสกา,13
อำเภอตะโหมด,13
อำเภอคุระบุรี,13
อำเภอปะทิว,13
อำเภอแหลมสิงห์,13
อำเภอภาชี,12
อำเภอห้วยกระเจา,12
อำเภอเกาะช้าง,12
อำเภอท่าช้าง,11
เขตสัมพันธวงศ์,11
อำเภอนาโยง,11
อำเภอดอนสัก,10
อำเภอทับปุด,10
อำเภอหนองแซง,10
อำเภอวังจันทร์,9
อำเภอเกาะลันตา,9
อำเภอคีรีรัฐนิคม,9
อำเภอราชสาส์น,9
อำเภอบางคนที,9
อำเภอเขาพนม,9
อำเภอทุ่งตะโก,9
อำเภอบ้านนาสาร,9
อำเภอสุคิริน,9
อำเภอเคียนซา,9
อำเภอเหนือคลอง,9
อำเภอบ้านคา,8
อำเภอบางขัน,8
อำเภอปลายพระยา,8
อำเภอคลองหอยโข่ง,8
อำเภอเมืองพังงา,8
อำเภอนบพิตำ,8
อำเภอบางแก้ว,8
อำเภอหนองโดน,8
อำเภอไชยา,8
อำเภอท้ายเหมือง,8
อำเภอสระโบสถ์,8
อำเภอพระแสง,8
อำเภอตะกั่วทุ่ง,8
อำเภอพนม,7
อำเภอป่าพะยอม,7
อำเภออ่าวลึก,7
อำเภอรัษฎา,7
อำเภอคลองใหญ่,7
อำเภอนายายอาม,7
อำเภอมะขาม,7
อำเภอกะเปอร์,7
อำเภอจุฬาภรณ์,7
อำเภอหาดสำราญ,7
อำเภอพิปูน,6
อำเภอหนองหญ้าปล้อง,6
อำเภอลำทับ,6
อำเภอพรหมคีรี,6
อำเภอละอุ่น,6
อำเภอแหลมงอบ,6
