destination_country,province,worker_count
ไอร์แลนด์,ประจวบคีรีขันธ์,3
ไอร์แลนด์,ตราด,3
ไอร์แลนด์,สระแก้ว,3
ไอร์แลนด์,เชียงราย,3
ไอร์แลนด์,อำนาจเจริญ,3
ไอร์แลนด์,ราชบุรี,2
ไอร์แลนด์,น่าน,2
ไอร์แลนด์,อ่างทอง,2
ไอร์แลนด์,นครปฐม,2
ไอร์แลนด์,ลำพูน,2
ไอร์แลนด์,สุราษฎร์ธานี,1
ไอร์แลนด์,นราธิวาส,1
ไอร์แลนด์,แพร่,1
ไอร์แลนด์,พระนครศรีอยุธยา,1
ไอร์แลนด์,สิงห์บุรี,1
ไอร์แลนด์,อุทัยธานี,1
โปแลนด์,อุดรธานี,51
โปแลนด์,ขอนแก่น,47
โปแลนด์,นครราชสีมา,40
โปแลนด์,กรุงเทพมหานคร,32
โปแลนด์,ลำปาง,31
โปแลนด์,สกลนคร,26
โปแลนด์,ตาก,26
โปแลนด์,หนองบัวลำภู,25
โปแลนด์,อุบลราชธานี,24
โปแลนด์,ชัยภูมิ,22
โปแลนด์,บุรีรัมย์,21
โปแลนด์,สุโขทัย,20
โปแลนด์,ศรีสะเกษ,19
โปแลนด์,หนองคาย,18
โปแลนด์,ระยอง,17
โปแลนด์,กำแพงเพชร,17
โปแลนด์,มหาสารคาม,16
โปแลนด์,นครพนม,16
โปแลนด์,นครสวรรค์,14
โปแลนด์,พิจิตร,12
โปแลนด์,มุกดาหาร,12
โปแลนด์,พิษณุโลก,12
โปแลนด์,ชลบุรี,11
โปแลนด์,สุรินทร์,11
โปแลนด์,บึงกาฬ,9
โปแลนด์,ปทุมธานี,9
โปแลนด์,ร้อยเอ็ด,8
โปแลนด์,ยโสธร,8
โปแลนด์,สมุทรปราการ,8
โปแลนด์,กาฬสินธุ์,8
โปแลนด์,เลย,7
โปแลนด์,นนทบุรี,7
โปแลนด์,สงขลา,7
โปแลนด์,เพชรบูรณ์,6
โปแลนด์,ชัยนาท,6
โปแลนด์,พะเยา,5
โปแลนด์,ภูเก็ต,5
โปแลนด์,นครศรีธรรมราช,5
โปแลนด์,ตรัง,4
โปแลนด์,อุตรดิตถ์,4
โปแลนด์,สุพรรณบุรี,4
โปแลนด์,กาญจนบุรี,4
โปแลนด์,เชียงใหม่,4
โปแลนด์,ปราจีนบุรี,4
โปแลนด์,ฉะเชิงเทรา,3
โปแลนด์,ประจวบคีรีขันธ์,3
โปแลนด์,ตราด,3
โปแลนด์,สระแก้ว,3
โปแลนด์,เชียงราย,3
โปแลนด์,อำนาจเจริญ,3
โปแลนด์,ลพบุรี,3
โปแลนด์,ราชบุรี,2
โปแลนด์,น่าน,2
โปแลนด์,อ่างทอง,2
โปแลนด์,นครปฐม,2
โปแลนด์,จันทบุรี,2
โปแลนด์,ลำพูน,2
โปแลนด์,สระบุรี,2
โปแลนด์,สุราษฎร์ธานี,1
โปแลนด์,นราธิวาส,1
โปแลนด์,แพร่,1
โปแลนด์,พระนครศรีอยุธยา,1
โปแลนด์,สิงห์บุรี,1
โปแลนด์,อุทัยธานี,1
โปแลนด์,เพชรบุรี,1
โปแลนด์,สมุทรสาคร,1
โปแลนด์,พังงา,1
โปแลนด์,นครราชสีมา,236
โปแลนด์,ขอนแก่น,135
โปแลนด์,เชียงราย,80
โปแลนด์,อุดรธานี,33
โปแลนด์,มหาสารคาม,24
โปแลนด์,กรุงเทพมหานคร,19
โปแลนด์,สุโขทัย,14
โปแลนด์,อุบลราชธานี,11
โปแลนด์,ชัยภูมิ,10
โปแลนด์,หนองคาย,10
โปแลนด์,ชลบุรี,8
โปแลนด์,เชียงใหม่,8
โปแลนด์,สกลนคร,8
โปแลนด์,ปทุมธานี,7
โปแลนด์,บุรีรัมย์,7
โปแลนด์,กาฬสินธุ์,5
โปแลนด์,สุรินทร์,5
โปแลนด์,เพชรบูรณ์,5
โปแลนด์,บึงกาฬ,4
โปแลนด์,ลพบุรี,4
โปแลนด์,นนทบุรี,4
